代码,净值日期,单位净值,累计单位净值,复权单位净值
161005.SZ,2005/11/16,1,1,1
161005.SZ,2005/11/18,1.0006,1.0006,1.0006
161005.SZ,2005/11/21,1.0006,1.0006,1.0006
161005.SZ,2005/11/22,1.0006,1.0006,1.0006
161005.SZ,2005/11/23,1.0006,1.0006,1.0006
161005.SZ,2005/11/24,1.0006,1.0006,1.0006
161005.SZ,2005/11/25,1.0017,1.0017,1.0017
161005.SZ,2005/11/28,1.0017,1.0017,1.0017
161005.SZ,2005/11/29,1.0017,1.0017,1.0017
161005.SZ,2005/11/30,1.0017,1.0017,1.0017
161005.SZ,2005/12/1,0.9996,0.9996,0.9996
161005.SZ,2005/12/2,0.9996,0.9996,0.9996
161005.SZ,2005/12/5,0.9988,0.9988,0.9988
161005.SZ,2005/12/6,1.0001,1.0001,1.0001
161005.SZ,2005/12/7,1.0021,1.0021,1.0021
161005.SZ,2005/12/8,1.0022,1.0022,1.0022
161005.SZ,2005/12/9,1.0045,1.0045,1.0045
161005.SZ,2005/12/12,1.0037,1.0037,1.0037
161005.SZ,2005/12/13,1.0031,1.0031,1.0031
161005.SZ,2005/12/14,1.0059,1.0059,1.0059
161005.SZ,2005/12/15,1.0053,1.0053,1.0053
161005.SZ,2005/12/16,1.0072,1.0072,1.0072
161005.SZ,2005/12/19,1.0086,1.0086,1.0086
161005.SZ,2005/12/20,1.009,1.009,1.009
161005.SZ,2005/12/21,1.0096,1.0096,1.0096
161005.SZ,2005/12/22,1.013,1.013,1.013
161005.SZ,2005/12/23,1.0177,1.0177,1.0177
161005.SZ,2005/12/26,1.0214,1.0214,1.0214
161005.SZ,2005/12/27,1.0217,1.0217,1.0217
161005.SZ,2005/12/28,1.0229,1.0229,1.0229
161005.SZ,2005/12/29,1.028,1.028,1.028
161005.SZ,2005/12/30,1.0228,1.0228,1.0228
161005.SZ,2005/12/31,1.0228,1.0228,1.0228
161005.SZ,2006/1/4,1.0339,1.0339,1.0339
161005.SZ,2006/1/5,1.0421,1.0421,1.0421
161005.SZ,2006/1/6,1.0505,1.0505,1.0505
161005.SZ,2006/1/9,1.0535,1.0535,1.0535
