证券代码,证券名称,交易时间,收盘价
399106,深证综指,2005/11/16,265.31 
399106,深证综指,2005/11/18,271.87 
399106,深证综指,2005/11/21,272.62 
399106,深证综指,2005/11/22,267.48 
399106,深证综指,2005/11/23,269.38 
399106,深证综指,2005/11/24,270.16 
399106,深证综指,2005/11/25,270.46 
399106,深证综指,2005/11/28,269.51 
399106,深证综指,2005/11/29,266.36 
399106,深证综指,2005/11/30,266.86 
399106,深证综指,2005/12/1,266.59 
399106,深证综指,2005/12/2,264.18 
399106,深证综指,2005/12/5,258.17 
399106,深证综指,2005/12/6,259.63 
399106,深证综指,2005/12/7,262.10 
399106,深证综指,2005/12/8,262.47 
399106,深证综指,2005/12/9,266.56 
399106,深证综指,2005/12/12,267.79 
399106,深证综指,2005/12/13,268.63 
399106,深证综指,2005/12/14,271.55 
399106,深证综指,2005/12/15,270.36 
399106,深证综指,2005/12/16,273.05 
399106,深证综指,2005/12/19,272.93 
399106,深证综指,2005/12/20,273.44 
399106,深证综指,2005/12/21,271.41 
399106,深证综指,2005/12/22,273.18 
399106,深证综指,2005/12/23,275.85 
399106,深证综指,2005/12/26,278.03 
399106,深证综指,2005/12/27,277.36 
399106,深证综指,2005/12/28,278.25 
399106,深证综指,2005/12/29,281.64 
399106,深证综指,2005/12/30,278.74 
399106,深证综指,2006/1/4,283.48 
399106,深证综指,2006/1/5,289.13 
399106,深证综指,2006/1/6,291.29 
399106,深证综指,2006/1/9,294.27 
399106,深证综指,2006/1/10,295.99 
399106,深证综指,2006/1/11,293.56 
399106,深证综指,2006/1/12,298.35 
399106,深证综指,2006/1/13,297.97 
399106,深证综指,2006/1/16,293.84 
399106,深证综指,2006/1/17,295.33 
399106,深证综指,2006/1/18,302.00 
399106,深证综指,2006/1/19,304.95 
399106,深证综指,2006/1/20,305.32 
399106,深证综指,2006/1/23,305.85 
399106,深证综指,2006/1/24,306.07 
399106,深证综指,2006/1/25,307.11 
399106,深证综指,2006/2/6,315.90 
399106,深证综指,2006/2/7,316.20 
399106,深证综指,2006/2/8,316.52 
399106,深证综指,2006/2/9,312.45 
399106,深证综指,2006/2/10,316.52 
399106,深证综指,2006/2/13,316.17 
399106,深证综指,2006/2/14,318.61 
399106,深证综指,2006/2/15,318.99 
399106,深证综指,2006/2/16,310.61 
399106,深证综指,2006/2/17,309.02 
399106,深证综指,2006/2/20,308.82 
399106,深证综指,2006/2/21,313.39 
399106,深证综指,2006/2/22,313.91 
399106,深证综指,2006/2/23,313.93 
399106,深证综指,2006/2/24,316.31 
399106,深证综指,2006/2/27,314.45 
399106,深证综指,2006/2/28,315.30 
399106,深证综指,2006/3/1,317.63 
399106,深证综指,2006/3/2,313.21 
399106,深证综指,2006/3/3,313.73 
399106,深证综指,2006/3/6,312.92 
399106,深证综指,2006/3/7,305.36 
399106,深证综指,2006/3/8,303.58 
399106,深证综指,2006/3/9,302.43 
399106,深证综指,2006/3/10,303.80 
399106,深证综指,2006/3/13,306.98 
399106,深证综指,2006/3/14,306.86 
399106,深证综指,2006/3/15,310.21 
399106,深证综指,2006/3/16,309.96 
399106,深证综指,2006/3/17,308.98 
399106,深证综指,2006/3/20,312.20 
399106,深证综指,2006/3/21,313.36 
399106,深证综指,2006/3/22,316.08 
399106,深证综指,2006/3/23,317.50 
399106,深证综指,2006/3/24,316.43 
399106,深证综指,2006/3/27,319.99 
399106,深证综指,2006/3/28,322.34 
399106,深证综指,2006/3/29,323.64 
399106,深证综指,2006/3/30,320.85 
399106,深证综指,2006/3/31,323.45 
399106,深证综指,2006/4/3,329.51 
399106,深证综指,2006/4/4,332.42 
399106,深证综指,2006/4/5,335.58 
399106,深证综指,2006/4/6,337.62 
399106,深证综指,2006/4/7,339.49 
399106,深证综指,2006/4/10,345.36 
399106,深证综指,2006/4/11,347.28 
399106,深证综指,2006/4/12,345.46 
399106,深证综指,2006/4/13,338.02 
399106,深证综指,2006/4/14,346.12 
399106,深证综指,2006/4/17,347.44 
399106,深证综指,2006/4/18,348.48 
399106,深证综指,2006/4/19,349.63 
399106,深证综指,2006/4/20,348.32 
399106,深证综指,2006/4/21,349.85 
399106,深证综指,2006/4/24,344.42 
399106,深证综指,2006/4/25,345.50 
399106,深证综指,2006/4/26,349.45 
399106,深证综指,2006/4/27,351.11 
399106,深证综指,2006/4/28,354.03 
399106,深证综指,2006/5/8,366.60 
399106,深证综指,2006/5/9,376.95 
399106,深证综指,2006/5/10,382.26 
399106,深证综指,2006/5/11,379.29 
399106,深证综指,2006/5/12,389.75 
399106,深证综指,2006/5/15,406.97 
399106,深证综指,2006/5/16,395.83 
399106,深证综指,2006/5/17,399.45 
399106,深证综指,2006/5/18,401.01 
399106,深证综指,2006/5/19,410.79 
399106,深证综指,2006/5/22,415.66 
399106,深证综指,2006/5/23,398.89 
399106,深证综指,2006/5/24,394.45 
399106,深证综指,2006/5/25,396.33 
399106,深证综指,2006/5/26,404.43 
399106,深证综指,2006/5/29,414.56 
399106,深证综指,2006/5/30,419.33 
399106,深证综指,2006/5/31,417.02 
399106,深证综指,2006/6/1,429.70 
399106,深证综指,2006/6/2,426.91 
399106,深证综指,2006/6/5,432.62 
399106,深证综指,2006/6/6,430.81 
399106,深证综指,2006/6/7,405.88 
399106,深证综指,2006/6/8,405.77 
399106,深证综指,2006/6/9,397.66 
399106,深证综指,2006/6/12,398.88 
399106,深证综指,2006/6/13,400.17 
399106,深证综指,2006/6/14,396.37 
399106,深证综指,2006/6/15,397.19 
399106,深证综指,2006/6/16,406.90 
399106,深证综指,2006/6/19,412.20 
399106,深证综指,2006/6/20,414.07 
399106,深证综指,2006/6/21,412.32 
399106,深证综指,2006/6/22,411.32 
399106,深证综指,2006/6/23,415.36 
399106,深证综指,2006/6/26,423.71 
399106,深证综指,2006/6/27,424.66 
399106,深证综指,2006/6/28,424.51 
399106,深证综指,2006/6/29,433.79 
399106,深证综指,2006/6/30,433.22 
399106,深证综指,2006/7/3,440.13 
399106,深证综指,2006/7/4,436.92 
399106,深证综指,2006/7/5,433.80 
399106,深证综指,2006/7/6,442.64 
399106,深证综指,2006/7/7,441.77 
399106,深证综指,2006/7/10,444.01 
399106,深证综指,2006/7/11,446.58 
399106,深证综指,2006/7/12,446.61 
399106,深证综指,2006/7/13,422.44 
399106,深证综指,2006/7/14,425.16 
399106,深证综指,2006/7/17,431.03 
399106,深证综指,2006/7/18,433.10 
399106,深证综指,2006/7/19,422.95 
399106,深证综指,2006/7/20,425.97 
399106,深证综指,2006/7/21,429.01 
399106,深证综指,2006/7/24,429.09 
399106,深证综指,2006/7/25,433.98 
399106,深证综指,2006/7/26,433.58 
399106,深证综指,2006/7/27,427.66 
399106,深证综指,2006/7/28,422.80 
399106,深证综指,2006/7/31,406.09 
399106,深证综指,2006/8/1,402.16 
399106,深证综指,2006/8/2,399.85 
399106,深证综指,2006/8/3,398.52 
399106,深证综指,2006/8/4,387.48 
399106,深证综指,2006/8/7,380.26 
399106,深证综指,2006/8/8,391.28 
399106,深证综指,2006/8/9,390.65 
399106,深证综指,2006/8/10,396.77 
399106,深证综指,2006/8/11,398.53 
399106,深证综指,2006/8/14,388.87 
399106,深证综指,2006/8/15,395.51 
399106,深证综指,2006/8/16,401.71 
399106,深证综指,2006/8/17,399.05 
399106,深证综指,2006/8/18,396.71 
399106,深证综指,2006/8/21,397.82 
399106,深证综指,2006/8/22,401.86 
399106,深证综指,2006/8/23,401.23 
399106,深证综指,2006/8/24,403.38 
399106,深证综指,2006/8/25,404.80 
399106,深证综指,2006/8/28,414.30 
399106,深证综指,2006/8/29,415.88 
399106,深证综指,2006/8/30,418.86 
399106,深证综指,2006/8/31,421.47 
399106,深证综指,2006/9/1,415.63 
399106,深证综指,2006/9/4,422.01 
399106,深证综指,2006/9/5,421.47 
399106,深证综指,2006/9/6,423.31 
399106,深证综指,2006/9/7,417.21 
399106,深证综指,2006/9/8,417.70 
399106,深证综指,2006/9/11,420.12 
399106,深证综指,2006/9/12,422.43 
399106,深证综指,2006/9/13,417.39 
399106,深证综指,2006/9/14,416.78 
399106,深证综指,2006/9/15,422.66 
399106,深证综指,2006/9/18,429.98 
399106,深证综指,2006/9/19,429.76 
399106,深证综指,2006/9/20,431.39 
399106,深证综指,2006/9/21,433.02 
399106,深证综指,2006/9/22,429.88 
399106,深证综指,2006/9/25,430.24 
399106,深证综指,2006/9/26,427.15 
399106,深证综指,2006/9/27,430.51 
399106,深证综指,2006/9/28,434.38 
399106,深证综指,2006/9/29,438.90 
399106,深证综指,2006/10/9,447.31 
399106,深证综指,2006/10/10,448.01 
399106,深证综指,2006/10/11,448.24 
399106,深证综指,2006/10/12,444.90 
399106,深证综指,2006/10/13,446.85 
399106,深证综指,2006/10/16,445.11 
399106,深证综指,2006/10/17,444.30 
399106,深证综指,2006/10/18,449.93 
399106,深证综指,2006/10/19,451.36 
399106,深证综指,2006/10/20,449.77 
